State FIPS,AREA TYPE,AREA NAME,YEAR,MONTH,SEASONALLY ADJUSTED,LABORFORCE,EMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT RATE,LABFORCE_PART RATE
19,State,Iowa,2020,September,1,1651200,1571300,79900,4.8,66.1
19,State,Iowa,2020,August,1,1646400,1561900,84400,5.1,65.9
19,State,Iowa,2020,August,0,1644900,1566500,78400,4.8,
19,State,Iowa,2020,July,1,1648900,1553000,95900,5.8,66.1
19,State,Iowa,2020,July,0,1648300,1555400,92800,5.6,
19,State,Iowa,2020,June,1,1651000,1544200,106800,6.5,66.2
19,State,Iowa,2020,June,0,1661600,1550800,110800,6.7,
19,State,Iowa,2020,May,0,1654100,1520100,134000,8.1,
19,State,Iowa,2020,May,1,1675000,1541300,133700,8,67.1
19,State,Iowa,2020,April,0,1715200,1536700,178500,10.4,
19,State,Iowa,2020,April,1,1721200,1540700,180400,10.5,69
19,State,Iowa,2020,March,1,1731100,1686600,44400,2.6,69.4
19,State,Iowa,2020,March,0,1722800,1663600,59100,3.4,
19,State,Iowa,2020,February,0,1754100,1702400,51800,3,
19,State,Iowa,2020,February,1,1739500,1694400,45100,2.6,69.7
19,State,Iowa,2020,January,1,1747400,1701900,45500,2.6,70
19,State,Iowa,2020,January,0,1745600,1687800,57800,3.3,
19,State,Iowa,2019,December,0,1750100,1703600,46500,2.7,
19,State,Iowa,2019,December,1,1753500,1707400,46100,2.6,70.3
19,State,Iowa,2019,November,1,1757300,1710300,47000,2.7,70.5
19,State,Iowa,2019,November,0,1760000,1721200,38700,2.2,
19,State,Iowa,2019,October,1,1758600,1710800,47700,2.7,70.6
19,State,Iowa,2019,October,0,1767100,1729900,37200,2.1,
19,State,Iowa,2019,September,0,1756600,1718400,38100,2.2,
19,State,Iowa,2019,September,1,1758300,1710300,48000,2.7,70.6
19,State,Iowa,2019,August,0,1750300,1704600,45600,2.6,
19,State,Iowa,2019,August,1,1757100,1709500,47600,2.7,70.6
19,State,Iowa,2019,July,1,1755100,1708700,46400,2.6,70.5
19,State,Iowa,2019,July,0,1767600,1720000,47600,2.7,
19,State,Iowa,2019,June,0,1757200,1710400,46700,2.7,
19,State,Iowa,2019,June,1,1752200,1707100,45100,2.6,70.5
19,State,Iowa,2019,May,1,1748700,1704600,44100,2.5,70.4
19,State,Iowa,2019,May,0,1742100,1701400,40700,2.3,
19,State,Iowa,2019,April,1,1744700,1701200,43600,2.5,70.2
19,State,Iowa,2019,April,0,1740400,1700400,40000,2.3,
19,State,Iowa,2019,March,1,1740600,1697100,43500,2.5,70.1
19,State,Iowa,2019,March,0,1738800,1684800,54000,3.1,
19,State,Iowa,2019,February,0,1738700,1686800,51900,3,
19,State,Iowa,2019,February,1,1736500,1692800,43600,2.5,70
19,State,Iowa,2019,January,1,1732200,1688300,43900,2.5,69.8
19,State,Iowa,2019,January,0,1726600,1667100,59500,3.4,
19,State,Iowa,2018,December,0,1723000,1677400,45600,2.6,
19,State,Iowa,2018,December,1,1727800,1683800,43900,2.5,69.6
19,State,Iowa,2018,November,1,1723700,1680000,43700,2.5,69.5
19,State,Iowa,2018,November,0,1725400,1691900,33600,1.9,
19,State,Iowa,2018,October,1,1720900,1677600,43300,2.5,69.4
19,State,Iowa,2018,October,0,1727200,1694700,32500,1.9,
19,State,Iowa,2018,September,0,1715700,1680700,35000,2,
19,State,Iowa,2018,September,1,1719400,1676500,42800,2.5,69.4
19,State,Iowa,2018,August,0,1705400,1665000,40400,2.4,
19,State,Iowa,2018,August,1,1718700,1676300,42400,2.5,69.4
19,State,Iowa,2018,July,1,1718300,1676200,42000,2.4,69.4
19,State,Iowa,2018,July,0,1734900,1692400,42600,2.5,
19,State,Iowa,2018,June,0,1733300,1688700,44600,2.6,
19,State,Iowa,2018,June,1,1717400,1675400,42000,2.4,69.4
19,State,Iowa,2018,May,1,1715200,1672900,42300,2.5,69.4
19,State,Iowa,2018,May,0,1713100,1675700,37400,2.2,
19,State,Iowa,2018,April,1,1711500,1668500,43000,2.5,69.2
19,State,Iowa,2018,April,0,1705900,1664900,41100,2.4,
19,State,Iowa,2018,March,1,1706400,1662400,44000,2.6,69.1
19,State,Iowa,2018,March,0,1703000,1651900,51100,3,
19,State,Iowa,2018,February,0,1707000,1651800,55200,3.2,
19,State,Iowa,2018,February,1,1701000,1655900,45100,2.7,68.8
19,State,Iowa,2018,January,1,1697000,1650700,46300,2.7,68.7
19,State,Iowa,2018,January,0,1685300,1624600,60700,3.6,
19,State,Iowa,2017,December,1,1695100,1647600,47500,2.8,68.6
19,State,Iowa,2017,December,0,1686500,1638900,47700,2.8,
19,State,Iowa,2017,November,0,1690700,1650300,40400,2.4,
19,State,Iowa,2017,November,1,1695100,1646400,48600,2.9,68.6
19,State,Iowa,2017,October,1,1696200,1646500,49700,2.9,68.7
19,State,Iowa,2017,October,0,1696300,1658300,38000,2.2,
19,State,Iowa,2017,September,0,1702800,1658200,44700,2.6,
19,State,Iowa,2017,September,1,1697800,1647100,50700,3,68.8
19,State,Iowa,2017,August,1,1699500,1648000,51500,3,68.9
19,State,Iowa,2017,August,0,1696300,1644900,51300,3,
19,State,Iowa,2017,July,0,1715100,1662700,52400,3.1,
19,State,Iowa,2017,July,1,1700500,1648600,52000,3.1,69
19,State,Iowa,2017,June,1,1700600,1648300,52300,3.1,69
19,State,Iowa,2017,June,0,1713500,1659900,53600,3.1,
19,State,Iowa,2017,May,0,1694000,1644600,49400,2.9,
19,State,Iowa,2017,May,1,1699600,1647000,52600,3.1,69
19,State,Iowa,2017,April,0,1701800,1652300,49500,2.9,
19,State,Iowa,2017,April,1,1697900,1644800,53100,3.1,68.9
19,State,Iowa,2017,March,0,1694800,1635700,59100,3.5,
19,State,Iowa,2017,March,1,1696400,1642400,53900,3.2,68.9
19,State,Iowa,2017,February,0,1695700,1631600,64100,3.8,
19,State,Iowa,2017,February,1,1695700,1640700,55000,3.2,68.9
19,State,Iowa,2017,January,0,1682300,1610500,71800,4.3,
19,State,Iowa,2017,January,1,1696500,1640200,56300,3.3,69
19,State,Iowa,2016,December,0,1678300,1619600,58700,3.5,
19,State,Iowa,2016,December,1,1689900,1632100,57800,3.4,69
19,State,Iowa,2016,November,1,1693600,1634600,59000,3.5,69.2
19,State,Iowa,2016,November,0,1686100,1636600,49400,2.9,
19,State,Iowa,2016,October,1,1697300,1637200,60100,3.5,69.4
19,State,Iowa,2016,October,0,1701400,1650000,51400,3,
19,State,Iowa,2016,September,0,1704000,1648400,55600,3.3,
19,State,Iowa,2016,September,1,1700400,1639400,61000,3.6,69.5
19,State,Iowa,2016,August,0,1702900,1642200,60700,3.6,
19,State,Iowa,2016,August,1,1702500,1640800,61600,3.6,69.7
19,State,Iowa,2016,July,1,1703900,1641700,62100,3.6,69.7
19,State,Iowa,2016,July,0,1721500,1658400,63100,3.7,
19,State,Iowa,2016,June,0,1714000,1649800,64200,3.7,
19,State,Iowa,2016,June,1,1705100,1642800,62300,3.7,69.8
19,State,Iowa,2016,May,1,1706700,1644500,62200,3.6,69.9
19,State,Iowa,2016,May,0,1701600,1644900,56700,3.3,
19,State,Iowa,2016,April,1,1708500,1646500,62000,3.6,70
19,State,Iowa,2016,April,0,1711700,1653100,58600,3.4,
19,State,Iowa,2016,March,1,1710100,1648100,61900,3.6,70.1
19,State,Iowa,2016,March,0,1711200,1643400,67900,4,
19,State,Iowa,2016,February,0,1708700,1637800,71000,4.2,
19,State,Iowa,2016,February,1,1710400,1648400,62000,3.6,70.2
19,State,Iowa,2016,January,1,1708700,1646700,62100,3.6,70.1
19,State,Iowa,2016,January,0,1696500,1621700,74800,4.4,
19,State,Iowa,2015,December,0,1697800,1634000,63800,3.8,
19,State,Iowa,2015,December,1,1705300,1643200,62100,3.6,70
19,State,Iowa,2015,November,1,1701200,1639300,62000,3.6,69.8
19,State,Iowa,2015,November,0,1693900,1639100,54800,3.2,
19,State,Iowa,2015,October,1,1697900,1636200,61700,3.6,69.7
19,State,Iowa,2015,October,0,1701100,1647300,53700,3.2,
19,State,Iowa,2015,September,0,1689500,1634000,55400,3.3,
19,State,Iowa,2015,September,1,1696200,1634600,61600,3.6,69.7
19,State,Iowa,2015,August,0,1695100,1635800,59300,3.5,
19,State,Iowa,2015,August,1,1696000,1634400,61600,3.6,69.7
19,State,Iowa,2015,July,1,1697000,1635100,61900,3.6,69.8
19,State,Iowa,2015,July,0,1716900,1654300,62600,3.6,
19,State,Iowa,2015,June,0,1715700,1652400,63300,3.7,
19,State,Iowa,2015,June,1,1698800,1636400,62400,3.7,69.9
19,State,Iowa,2015,May,1,1700800,1637700,63200,3.7,70
19,State,Iowa,2015,May,0,1702300,1641800,60500,3.6,
19,State,Iowa,2015,April,1,1702300,1638400,63900,3.8,70.1
19,State,Iowa,2015,April,0,1700300,1640900,59400,3.5,
19,State,Iowa,2015,March,1,1703200,1638700,64500,3.8,70.1
19,State,Iowa,2015,March,0,1698000,1627900,70100,4.1,
19,State,Iowa,2015,February,0,1699700,1626300,73500,4.3,
19,State,Iowa,2015,February,1,1703900,1638700,65200,3.8,70.2
19,State,Iowa,2015,January,1,1704800,1638800,66000,3.9,70.2
19,State,Iowa,2015,January,0,1696300,1615700,80600,4.7,
19,State,Iowa,2014,December,0,1694000,1626200,67700,4,
19,State,Iowa,2014,December,1,1705600,1638400,67200,3.9,70.3
19,State,Iowa,2014,November,0,1698300,1637600,60700,3.6,
19,State,Iowa,2014,November,1,1705800,1637300,68600,4,70.3
19,State,Iowa,2014,October,0,1709600,1648400,61200,3.6,
19,State,Iowa,2014,October,1,1705300,1635300,70000,4.1,70.3
19,State,Iowa,2014,September,0,1706100,1640600,65400,3.8,
19,State,Iowa,2014,September,1,1704200,1633100,71100,4.2,70.3
19,State,Iowa,2014,August,0,1703900,1631700,72200,4.2,
19,State,Iowa,2014,August,1,1702700,1630900,71800,4.2,70.3
19,State,Iowa,2014,July,1,1701300,1629000,72300,4.2,70.3
19,State,Iowa,2014,July,0,1716800,1642700,74100,4.3,
19,State,Iowa,2014,June,1,1699700,1626900,72800,4.3,70.3
19,State,Iowa,2014,June,0,1714400,1641900,72400,4.2,
19,State,Iowa,2014,May,0,1698300,1630500,67800,4,
19,State,Iowa,2014,May,1,1697700,1624500,73200,4.3,70.2
19,State,Iowa,2014,April,1,1695800,1622200,73600,4.3,70.2
19,State,Iowa,2014,April,0,1693400,1626700,66700,3.9,
19,State,Iowa,2014,March,1,1693300,1619300,74000,4.4,70.1
19,State,Iowa,2014,March,0,1691800,1608700,83100,4.9,
19,State,Iowa,2014,February,1,1690100,1615700,74500,4.4,70
19,State,Iowa,2014,February,0,1684200,1599500,84800,5,
19,State,Iowa,2014,January,1,1686900,1611900,75000,4.4,69.9
19,State,Iowa,2014,January,0,1673800,1585500,88300,5.3,
19,State,Iowa,2013,December,1,1684800,1609400,75400,4.5,69.8
19,State,Iowa,2013,December,0,1676800,1602100,74700,4.5,
19,State,Iowa,2013,November,0,1681100,1612600,68500,4.1,
19,State,Iowa,2013,November,1,1684500,1608600,75900,4.5,69.9
19,State,Iowa,2013,October,1,1685400,1608800,76600,4.5,69.9
19,State,Iowa,2013,October,0,1677300,1608100,69200,4.1,
19,State,Iowa,2013,September,0,1689700,1617700,72100,4.3,
19,State,Iowa,2013,September,1,1686600,1609000,77500,4.6,70
19,State,Iowa,2013,August,0,1694200,1617700,76400,4.5,
19,State,Iowa,2013,August,1,1686400,1607800,78600,4.7,70.1
19,State,Iowa,2013,July,1,1684000,1604600,79400,4.7,70
19,State,Iowa,2013,July,0,1708000,1628300,79700,4.7,
19,State,Iowa,2013,June,1,1679500,1599500,80000,4.8,69.9
19,State,Iowa,2013,June,0,1693400,1611000,82300,4.9,
19,State,Iowa,2013,May,0,1671100,1596100,75000,4.5,
19,State,Iowa,2013,May,1,1673800,1593100,80700,4.8,69.7
19,State,Iowa,2013,April,1,1668200,1586800,81300,4.9,69.5
19,State,Iowa,2013,April,0,1662100,1585300,76900,4.6,
19,State,Iowa,2013,March,1,1664200,1582300,81900,4.9,69.3
19,State,Iowa,2013,March,0,1655100,1568200,86900,5.3,
19,State,Iowa,2013,February,1,1662700,1580500,82200,4.9,69.3
19,State,Iowa,2013,February,0,1658200,1567000,91200,5.5,
19,State,Iowa,2013,January,1,1662600,1580400,82300,4.9,69.3
19,State,Iowa,2013,January,0,1651700,1551500,100200,6.1,
19,State,Iowa,2012,December,1,1662600,1580500,82200,4.9,69.4
19,State,Iowa,2012,December,0,1655300,1572100,83200,5,
19,State,Iowa,2012,November,0,1659800,1586200,73600,4.4,
19,State,Iowa,2012,November,1,1661900,1579800,82100,4.9,69.4
19,State,Iowa,2012,October,1,1660500,1578200,82300,5,69.3
19,State,Iowa,2012,October,0,1668700,1594900,73700,4.4,
19,State,Iowa,2012,September,0,1657200,1582700,74400,4.5,
19,State,Iowa,2012,September,1,1658700,1576100,82600,5,69.3
19,State,Iowa,2012,August,0,1655100,1572800,82200,5,
19,State,Iowa,2012,August,1,1657200,1574100,83100,5,69.3
19,State,Iowa,2012,July,0,1673400,1587700,85700,5.1,
19,State,Iowa,2012,July,1,1656700,1572900,83900,5.1,69.3
19,State,Iowa,2012,June,0,1673000,1587200,85800,5.1,
19,State,Iowa,2012,June,1,1657200,1572700,84500,5.1,69.4
19,State,Iowa,2012,May,0,1657300,1578300,79000,4.8,
19,State,Iowa,2012,May,1,1658400,1573600,84800,5.1,69.5
19,State,Iowa,2012,April,0,1655800,1576700,79200,4.8,
19,State,Iowa,2012,April,1,1660200,1575200,85000,5.1,69.6
19,State,Iowa,2012,March,0,1659200,1566900,92300,5.6,
19,State,Iowa,2012,March,1,1662000,1576700,85300,5.1,69.7
19,State,Iowa,2012,February,0,1656700,1558800,97900,5.9,
19,State,Iowa,2012,February,1,1663600,1577500,86000,5.2,69.8
19,State,Iowa,2012,January,0,1650800,1550400,100400,6.1,
19,State,Iowa,2012,January,1,1665200,1577800,87400,5.2,69.9
19,State,Iowa,2011,December,1,1666700,1577600,89100,5.3,70
19,State,Iowa,2011,December,0,1661400,1569900,91500,5.5,
19,State,Iowa,2011,November,0,1665500,1583400,82100,4.9,
19,State,Iowa,2011,November,1,1667800,1576900,90900,5.5,70
19,State,Iowa,2011,October,1,1668100,1575600,92500,5.5,70.1
19,State,Iowa,2011,October,0,1672800,1588900,83900,5,
19,State,Iowa,2011,September,0,1672000,1583500,88600,5.3,
19,State,Iowa,2011,September,1,1667800,1574200,93600,5.6,70.1
19,State,Iowa,2011,August,1,1667500,1573200,94300,5.7,70.1
19,State,Iowa,2011,August,0,1668700,1575000,93700,5.6,
19,State,Iowa,2011,July,0,1681700,1590100,91600,5.4,
19,State,Iowa,2011,July,1,1667400,1572900,94600,5.7,70.2
19,State,Iowa,2011,June,1,1668000,1573400,94600,5.7,70.2
19,State,Iowa,2011,June,0,1678100,1580800,97400,5.8,
19,State,Iowa,2011,May,0,1665900,1577700,88200,5.3,
19,State,Iowa,2011,May,1,1669500,1574800,94600,5.7,70.3
19,State,Iowa,2011,April,1,1671600,1576600,95000,5.7,70.5
19,State,Iowa,2011,April,0,1673000,1583300,89800,5.4,
19,State,Iowa,2011,March,0,1669500,1565900,103600,6.2,
19,State,Iowa,2011,March,1,1674100,1578200,95800,5.7,70.6
19,State,Iowa,2011,February,1,1676000,1579100,96900,5.8,70.7
19,State,Iowa,2011,February,0,1667000,1559500,107500,6.4,
19,State,Iowa,2011,January,0,1664900,1551200,113700,6.8,
19,State,Iowa,2011,January,1,1676900,1578800,98100,5.9,70.8
19,State,Iowa,2010,December,1,1676500,1577200,99300,5.9,70.8
19,State,Iowa,2010,December,0,1673100,1571900,101200,6,
19,State,Iowa,2010,November,0,1674900,1581400,93500,5.6,
19,State,Iowa,2010,November,1,1675200,1575000,100200,6,70.8
19,State,Iowa,2010,October,1,1673400,1572800,100600,6,70.7
19,State,Iowa,2010,October,0,1678900,1589000,89900,5.4,
19,State,Iowa,2010,September,0,1673200,1579000,94200,5.6,
19,State,Iowa,2010,September,1,1672200,1571800,100400,6,70.7
19,State,Iowa,2010,August,0,1670200,1571400,98900,5.9,
19,State,Iowa,2010,August,1,1672300,1572200,100100,6,70.8
19,State,Iowa,2010,July,1,1673900,1573700,100200,6,70.9
19,State,Iowa,2010,July,0,1686100,1586600,99400,5.9,
19,State,Iowa,2010,June,1,1676100,1575300,100800,6,71
19,State,Iowa,2010,June,0,1686800,1586800,100000,5.9,
19,State,Iowa,2010,May,0,1677600,1582700,94900,5.7,
19,State,Iowa,2010,May,1,1677800,1575600,102100,6.1,71.1
19,State,Iowa,2010,April,0,1684500,1584900,99500,5.9,
19,State,Iowa,2010,April,1,1677600,1573800,103700,6.2,71.1
19,State,Iowa,2010,March,0,1669100,1553300,115800,6.9,
19,State,Iowa,2010,March,1,1675400,1570000,105400,6.3,71.5
19,State,Iowa,2010,February,1,1671800,1565000,106800,6.4,71.4
19,State,Iowa,2010,February,0,1661900,1542600,119300,7.2,
19,State,Iowa,2010,January,1,1668200,1560400,107800,6.5,71.2
19,State,Iowa,2010,January,0,1656600,1533800,122800,7.4,
19,State,Iowa,2009,December,0,1655100,1545500,109600,6.6,
19,State,Iowa,2009,December,1,1666000,1557900,108100,6.5,71.2
19,State,Iowa,2009,November,1,1666300,1558000,108300,6.5,71.2
19,State,Iowa,2009,November,0,1666200,1568000,98200,5.9,
19,State,Iowa,2009,October,1,1668700,1560100,108700,6.5,71.4
19,State,Iowa,2009,October,0,1676800,1574900,101900,6.1,
19,State,Iowa,2009,September,0,1672000,1572600,99400,5.9,
19,State,Iowa,2009,September,1,1671900,1562800,109200,6.5,71.5
19,State,Iowa,2009,August,0,1677900,1570800,107100,6.4,
19,State,Iowa,2009,August,1,1674800,1565000,109700,6.6,71.7
19,State,Iowa,2009,July,1,1677000,1566800,110100,6.6,71.9
19,State,Iowa,2009,July,0,1693000,1583200,109800,6.5,
19,State,Iowa,2009,June,0,1692200,1579300,112900,6.7,
19,State,Iowa,2009,June,1,1678700,1568300,110400,6.6,72
19,State,Iowa,2009,May,1,1680500,1570400,110200,6.6,72.1
19,State,Iowa,2009,May,0,1674000,1570200,103800,6.2,
19,State,Iowa,2009,April,1,1682500,1573700,108800,6.5,72.2
19,State,Iowa,2009,April,0,1677400,1575400,102000,6.1,
19,State,Iowa,2009,March,1,1684700,1578900,105900,6.3,72.3
19,State,Iowa,2009,March,0,1679300,1562300,117000,7,
19,State,Iowa,2009,February,0,1682300,1567500,114800,6.8,
19,State,Iowa,2009,February,1,1687000,1585900,101100,6,72.5
19,State,Iowa,2009,January,1,1689100,1594100,95000,5.6,72.6
19,State,Iowa,2009,January,0,1678500,1565000,113500,6.8,
19,State,Iowa,2008,December,0,1685100,1597400,87700,5.2,
19,State,Iowa,2008,December,1,1690600,1602000,88600,5.2,72.7
19,State,Iowa,2008,November,1,1691200,1608700,82500,4.9,72.7
19,State,Iowa,2008,November,0,1689000,1618000,71000,4.2,
19,State,Iowa,2008,October,1,1691000,1613500,77500,4.6,72.8
19,State,Iowa,2008,October,0,1700500,1634300,66200,3.9,
19,State,Iowa,2008,September,0,1692600,1625200,67400,4,
19,State,Iowa,2008,September,1,1690000,1616000,74000,4.4,72.8
19,State,Iowa,2008,August,0,1686400,1615700,70700,4.2,
19,State,Iowa,2008,August,1,1688300,1616600,71700,4.2,72.7
19,State,Iowa,2008,July,1,1685700,1615700,70000,4.1,72.7
19,State,Iowa,2008,July,0,1703300,1633200,70100,4.1,
19,State,Iowa,2008,June,0,1692600,1623700,68900,4.1,
19,State,Iowa,2008,June,1,1682200,1614200,68000,4,72.6
19,State,Iowa,2008,May,1,1678600,1612900,65700,3.9,72.4
19,State,Iowa,2008,May,0,1675800,1615400,60500,3.6,
19,State,Iowa,2008,April,1,1675600,1612100,63500,3.8,72.3
19,State,Iowa,2008,April,0,1672300,1612100,60200,3.6,
19,State,Iowa,2008,March,1,1673700,1611800,61900,3.7,72.3
19,State,Iowa,2008,March,0,1664700,1595500,69200,4.2,
19,State,Iowa,2008,February,0,1661100,1590700,70400,4.2,
19,State,Iowa,2008,February,1,1672500,1611300,61200,3.7,72.3
19,State,Iowa,2008,January,1,1671500,1610200,61400,3.7,72.2
19,State,Iowa,2008,January,0,1663100,1588200,74900,4.5,
19,State,Iowa,2007,December,0,1667700,1602000,65600,3.9,
19,State,Iowa,2007,December,1,1670000,1608100,61900,3.7,72.2
19,State,Iowa,2007,November,1,1668000,1605500,62400,3.7,72.2
19,State,Iowa,2007,November,0,1674600,1619700,54900,3.3,
19,State,Iowa,2007,October,1,1665700,1603100,62600,3.8,72.1
19,State,Iowa,2007,October,0,1670100,1615500,54600,3.3,
19,State,Iowa,2007,September,0,1664100,1606600,57500,3.5,
19,State,Iowa,2007,September,1,1663400,1600900,62400,3.8,72
19,State,Iowa,2007,August,0,1654800,1596800,58000,3.5,
19,State,Iowa,2007,August,1,1661200,1599200,61900,3.7,72
19,State,Iowa,2007,July,1,1659500,1598100,61400,3.7,72
19,State,Iowa,2007,July,0,1676600,1617800,58800,3.5,
19,State,Iowa,2007,June,0,1678300,1615900,62300,3.7,
19,State,Iowa,2007,June,1,1658500,1597400,61200,3.7,71.9
19,State,Iowa,2007,May,1,1658200,1597200,61100,3.7,72
19,State,Iowa,2007,May,0,1651400,1595900,55500,3.4,
19,State,Iowa,2007,April,1,1658800,1597700,61100,3.7,72
19,State,Iowa,2007,April,0,1651200,1591200,60000,3.6,
19,State,Iowa,2007,March,1,1660000,1598900,61000,3.7,72.1
19,State,Iowa,2007,March,0,1651900,1585400,66500,4,
19,State,Iowa,2007,February,0,1652100,1580800,71200,4.3,
19,State,Iowa,2007,February,1,1661600,1600700,60900,3.7,72.2
19,State,Iowa,2007,January,1,1663300,1602500,60800,3.7,72.3
19,State,Iowa,2007,January,0,1653200,1578200,74900,4.5,
19,State,Iowa,2006,December,0,1667300,1605000,62300,3.7,
19,State,Iowa,2006,December,1,1664500,1603600,60900,3.7,72.4
19,State,Iowa,2006,November,1,1664400,1603300,61100,3.7,72.4
19,State,Iowa,2006,November,0,1666400,1611200,55200,3.3,
19,State,Iowa,2006,October,1,1663000,1601600,61400,3.7,72.4
19,State,Iowa,2006,October,0,1669500,1617200,52300,3.1,
19,State,Iowa,2006,September,0,1660500,1604400,56200,3.4,
19,State,Iowa,2006,September,1,1661000,1599600,61400,3.7,72.4
19,State,Iowa,2006,August,0,1656900,1598000,58900,3.6,
19,State,Iowa,2006,August,1,1659100,1597900,61200,3.7,72.4
19,State,Iowa,2006,July,1,1657600,1596800,60800,3.7,72.3
19,State,Iowa,2006,July,0,1672200,1612400,59700,3.6,
19,State,Iowa,2006,June,0,1670600,1609900,60700,3.6,
19,State,Iowa,2006,June,1,1656300,1596200,60100,3.6,72.3
19,State,Iowa,2006,May,1,1654700,1595200,59600,3.6,72.3
19,State,Iowa,2006,May,0,1648900,1595600,53400,3.2,
19,State,Iowa,2006,April,1,1652300,1592800,59500,3.6,72.2
19,State,Iowa,2006,April,0,1649700,1592400,57300,3.5,
19,State,Iowa,2006,March,1,1649100,1588900,60200,3.7,72.1
19,State,Iowa,2006,March,0,1642500,1577200,65300,4,
19,State,Iowa,2006,February,0,1639600,1567900,71600,4.4,
19,State,Iowa,2006,February,1,1645400,1583700,61800,3.8,72
19,State,Iowa,2006,January,1,1641800,1578100,63800,3.9,71.9
19,State,Iowa,2006,January,0,1627100,1552900,74100,4.6,
19,State,Iowa,2005,December,0,1638000,1567300,70700,4.3,
19,State,Iowa,2005,December,1,1639100,1573400,65700,4,71.8
19,State,Iowa,2005,November,1,1637400,1570100,67200,4.1,71.7
19,State,Iowa,2005,November,0,1638700,1574700,64000,3.9,
19,State,Iowa,2005,October,1,1636200,1568000,68200,4.2,71.7
19,State,Iowa,2005,October,0,1642500,1582500,60000,3.7,
19,State,Iowa,2005,September,1,1635000,1566400,68600,4.2,71.8
19,State,Iowa,2005,September,0,1636200,1572700,63500,3.9,
19,State,Iowa,2005,August,0,1633300,1569900,63300,3.9,
19,State,Iowa,2005,August,1,1633500,1564900,68600,4.2,71.8
19,State,Iowa,2005,July,1,1631700,1562900,68700,4.2,71.7
19,State,Iowa,2005,July,0,1650700,1584000,66700,4,
19,State,Iowa,2005,June,0,1637800,1567600,70200,4.3,
19,State,Iowa,2005,June,1,1629300,1560000,69300,4.3,71.7
19,State,Iowa,2005,May,1,1626400,1556200,70200,4.3,71.6
19,State,Iowa,2005,May,0,1618400,1552800,65600,4.1,
19,State,Iowa,2005,April,1,1623200,1552000,71200,4.4,71.5
